scientific_name,common_name,source_db,source_url,taxon_id
Erysimum ibericum,,GBIF,https://www.gbif.org/species/3048452,3048452
Erysimum scabrum,,GBIF,https://www.gbif.org/species/3048625,3048625
Erythraea ramosissima,,GBIF,https://www.gbif.org/species/7792572,7792572
Erythranthe breweri,Brewer's monkeyflower,GBIF,https://www.gbif.org/species/7346098,7346098
Erythranthe cuprea,,GBIF,https://www.gbif.org/species/7878507,7878507
Erythrina goldmanii,,GBIF,https://www.gbif.org/species/5349580,5349580
Erythrina macrophylla,,GBIF,https://www.gbif.org/species/5349564,5349564
Erythrococca abyssinica,,GBIF,https://www.gbif.org/species/3054577,3054577
Erythrodontium squarrosum,,GBIF,https://www.gbif.org/species/2682819,2682819
Erythroxylum hypericifolium,,GBIF,https://www.gbif.org/species/3693939,3693939
Erythroxylum nordestinum,,GBIF,https://www.gbif.org/species/7422337,7422337
Erythroxylum subracemosum,,GBIF,https://www.gbif.org/species/3694072,3694072
Eschweilera andina,,GBIF,https://www.gbif.org/species/3083184,3083184
Eschweilera baguensis,,GBIF,https://www.gbif.org/species/3083412,3083412
Eschweilera costaricensis,,GBIF,https://www.gbif.org/species/3083407,3083407
Eschweilera itayensis,,GBIF,https://www.gbif.org/species/3083253,3083253
